Timestamp,Score,Lives,Rocks_Destroyed,Shots_Fired,Shot_Accuracy
2025-05-07 13:35:51,8150,0,48,3782,0.01269169751454257
2025-05-07 13:41:36,7050,0,39,3664,0.01064410480349345
2025-05-07 13:46:38,3850,0,19,2440,0.00778688524590164
2025-05-07 13:52:12,6950,0,38,3185,0.011930926216640502
2025-05-07 13:57:44,7250,0,40,3082,0.012978585334198572
2025-05-07 14:02:16,5600,0,33,2848,0.011587078651685394
2025-05-07 14:05:32,3600,0,22,2199,0.010004547521600727
2025-05-07 14:09:21,3450,0,17,2414,0.007042253521126761
2025-05-07 14:13:08,5450,0,34,1705,0.01994134897360704
2025-05-07 14:18:07,6850,0,38,3356,0.01132300357568534
2025-05-07 14:22:24,7650,0,36,2329,0.015457277801631602
2025-05-07 14:27:59,7700,0,48,2857,0.0168008400420021
2025-05-07 14:29:39,2350,0,13,699,0.01859799713876967
2025-05-07 14:35:12,6650,0,35,3761,0.009306035628822122
2025-05-07 14:38:45,3900,0,23,2009,0.011448481831757094
2025-05-07 14:44:39,8450,0,41,2683,0.01528140141632501
2025-05-07 14:49:13,8150,0,38,2673,0.01421623643845866
2025-05-07 14:53:07,3600,0,22,2136,0.010299625468164793
2025-05-07 15:02:23,10650,0,51,7590,0.0067193675889328066
2025-05-07 15:07:37,8050,0,36,3051,0.011799410029498525
2025-05-07 15:11:41,4900,0,23,2653,0.008669430833019224
2025-05-07 15:16:39,5550,0,27,2231,0.012102196324518153
2025-05-07 15:20:41,3400,0,19,1899,0.010005265929436546
2025-05-07 15:23:02,1500,0,7,847,0.008264462809917356
2025-05-07 15:28:03,6100,0,24,2231,0.010757507844016136
2025-05-07 15:31:55,4150,0,21,1730,0.012138728323699421
2025-05-07 15:36:11,5750,0,35,2473,0.014152850788515973
2025-05-07 15:39:51,3250,0,15,1892,0.007928118393234672
2025-05-07 15:41:52,3150,0,17,1074,0.015828677839851025
2025-05-07 15:43:54,3050,0,14,1296,0.010802469135802469
2025-05-07 15:48:08,5950,0,38,2219,0.017124831004957188
2025-05-07 15:51:05,3150,0,14,1527,0.0091683038637852
2025-05-07 15:53:57,2550,0,14,1621,0.00863664404688464
2025-05-07 15:59:16,5850,0,33,2657,0.012420022581859239
2025-05-07 16:03:21,4600,0,26,1493,0.017414601473543203
2025-05-07 16:05:22,3300,0,19,783,0.024265644955300127
2025-05-07 16:08:07,2250,0,12,899,0.013348164627363738
2025-05-07 16:13:59,3450,0,16,2270,0.007048458149779736
2025-05-07 16:20:31,7900,0,44,2578,0.017067494181536073
2025-05-07 16:27:21,7350,0,41,2379,0.017234131988230348
2025-05-07 16:30:39,6050,0,34,1004,0.03386454183266932
2025-05-07 16:37:19,5300,0,18,2324,0.00774526678141136
2025-05-07 16:46:56,13200,0,74,3990,0.018546365914786967
2025-05-07 16:50:58,5000,0,29,1822,0.015916575192096598
2025-05-07 16:53:38,2750,0,10,956,0.010460251046025104
2025-05-07 16:59:12,7750,0,37,4329,0.008547008547008548
2025-05-07 17:07:21,9650,0,39,3286,0.011868533171028607
2025-05-07 17:12:47,4450,0,20,2104,0.009505703422053232
2025-05-07 17:17:28,4700,0,27,1795,0.015041782729805013
2025-05-07 17:22:52,3750,0,19,2339,0.008123129542539546
2025-05-07 17:27:02,3950,0,24,1079,0.022242817423540315
2025-05-07 17:29:32,2750,0,16,1201,0.013322231473771857
2025-05-07 17:33:28,3250,0,18,1199,0.015012510425354461
